MNDR ID	ncRNA Symbol	ncRNA Category	Species	Disease	DO ID	MeSH ID	References	Score
MNDR-E-CIRC-1784	hsa_circ_0048787	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1785	hsa_circ_0048962	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1786	hsa_circ_0048977	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1787	hsa_circ_0049089	circRNA	Homo sapiens	Ovarian cancer	DOID:2394	D010051	32111227	0.999986
MNDR-E-CIRC-1788	hsa_circ_0049235	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1789	hsa_circ_0049236	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1790	hsa_circ_0049237	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1791	hsa_circ_0049238	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1792	hsa_circ_0049243	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1793	hsa_circ_0049622	circRNA	Homo sapiens	Non small cell lung cancer	DOID:3908	D002289	29722168	0.795006
MNDR-E-CIRC-1794	hsa_circ_0049657	circRNA	Homo sapiens	Acute myeloid leukemia	DOID:9119	D015470	28282919	0.795006
MNDR-E-CIRC-1795	hsa_circ_0049865	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1796	hsa_circ_0049912	circRNA	Homo sapiens	Breast cancer	DOID:1612	D001943	29702064	0.999424
MNDR-E-CIRC-1797	hsa_circ_0050011	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1798	hsa_circ_0050017	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1799	hsa_circ_0050087	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1800	hsa_circ_0050089	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1801	hsa_circ_0050090	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1802	hsa_circ_0050093	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1803	hsa_circ_0050096	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1804	hsa_circ_005019	circRNA	Homo sapiens	T2DM with depression		D003866	28779132	0.795006
MNDR-E-CIRC-1805	hsa_circ_0050248	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1806	hsa_circ_0050287	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1807	hsa_circ_0050395	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1808	hsa_circ_0050547	circRNA	Homo sapiens	Gastric cancer	DOID:10534	D013274	28544609	0.795006
MNDR-E-CIRC-1809	hsa_circ_0050586	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1810	hsa_circ_0050648	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1811	hsa_circ_005086	circRNA	Homo sapiens	Tuberculosis	DOID:399	D014376	29448254	0.795006
MNDR-E-CIRC-1812	hsa_circ_0050974	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1813	hsa_circ_0051079	circRNA	Homo sapiens	Osteosarcoma	DOID:3347	D012516	31798828	0.795006
MNDR-E-CIRC-1814	hsa_circ_0051090	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1815	hsa_circ_0051091	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1816	hsa_circ_0051095	circRNA	Homo sapiens	Glioma	DOID:3070	D005910	29499945	0.999986
MNDR-E-CIRC-1817	hsa_circ_0051110	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1818	hsa_circ_0051164	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1819	hsa_circ_0051172	circRNA	Homo sapiens	Coronary artery disease	DOID:3393	D003324	28947970	0.795006
MNDR-E-CIRC-1820	hsa_circ_0051389	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1821	hsa_circ_0051403	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1822	hsa_circ_0051443	circRNA	Homo sapiens	Liver cancer	DOID:3571	D008113	32014458	0.795006
MNDR-E-CIRC-1823	hsa_circ_0051491	circRNA	Homo sapiens	Hepatocellular carcinoma	DOID:684	D006528	29789629	0.888683
MNDR-E-CIRC-1824	hsa_circ_0051491	circRNA	Homo sapiens	High grade dysplastic nodule			29789629	0.888683
MNDR-E-CIRC-1825	hsa_circ_0051491	circRNA	Homo sapiens	Low grade dysplastic nodule			29789629	0.888683
MNDR-E-CIRC-1826	hsa_circ_0051626	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1827	hsa_circ_0051666	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1828	hsa_circ_0051685	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1829	hsa_circ_0051899	circRNA	Homo sapiens	Acute kidney injury	DOID:3021	D058186	30197981	0.795006
MNDR-E-CIRC-1830	hsa_circ_0052112	circRNA	Homo sapiens	Breast cancer	DOID:1612	D001943	30257349	1
MNDR-E-CIRC-1831	hsa_circ_0052882	circRNA	Homo sapiens	Hepatocellular carcinoma	DOID:684	D006528	29789629	0.888683
MNDR-E-CIRC-1832	hsa_circ_0052884	circRNA	Homo sapiens	Liver cirrhosis	DOID:5082	D008103	29789629	0.888683
MNDR-E-CIRC-1833	hsa_circ_0052884	circRNA	Homo sapiens	Early hepatocellular carcinoma	DOID:684	D006528	29789629	0.888683
MNDR-E-CIRC-1834	hsa_circ_0052884	circRNA	Homo sapiens	High grade dysplastic nodule			29789629	0.888683
MNDR-E-CIRC-1835	hsa_circ_0052884	circRNA	Homo sapiens	Low grade dysplastic nodule			29789629	0.888683
MNDR-E-CIRC-1836	hsa_circ_0052972	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1837	hsa_circ_0052973	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1838	hsa_circ_0053032	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1839	hsa_circ_0053104	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1840	hsa_circ_0053432	circRNA	Homo sapiens	Hepatocellular cancer	DOID:3571	D008113	30931701	0.795006
MNDR-E-CIRC-1841	hsa_circ_0053432	circRNA	Homo sapiens	Non small cell lung cancer	DOID:3908	D002289	32297303	0.982118
MNDR-E-CIRC-1842	hsa_circ_0053743	circRNA	Homo sapiens	Facet joint osteoarthritis	DOID:8398		29470979	0.795006
MNDR-E-CIRC-1843	hsa_circ_0053944	circRNA	Homo sapiens	Bone-invasive pituitary adenoma	DOID:3829	D010911	29980532	0.888683
MNDR-E-CIRC-1844	hsa_circ_0053948	circRNA	Homo sapiens	Lung adenocarcinoma	DOID:3910	D000077192	31301086	1
MNDR-E-CIRC-1844	hsa_circ_0053948	circRNA	Homo sapiens	Lung adenocarcinoma	DOID:3910	D000077192	32329853	1
MNDR-E-CIRC-1845	hsa_circ_0053948	circRNA	Homo sapiens	Nasopharyngeal cancer		D009303	32061262	0.999986
